datetime,title,duration,,
s2025-10-09 04:03:26,Jason Aldean - Take A Little Ride,189,,
s2025-10-09 04:06:35,Keith Urban - Straight Line,216,,
s2025-10-09 04:10:12,Parker McCollum - Handle On You,211,,
s2025-10-09 04:13:43,Carly Pearce - truck on fire,188,,
s2025-10-09 04:16:51,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,59,,
s2025-10-09 04:17:51,Listen.FM - Listen.FM,10,,
s2025-10-09 04:18:01,Morgan Wallen - You Proof,156,,
s2025-10-09 04:20:37,Riley Green - Don't Mind If I Do (feat. Ella Langley),225,,
s2025-10-09 04:24:23,Zac Brown Band - Homegrown,199,,
s2025-10-09 04:27:42,Russell Dickerson - God Gave Me a Girl,184,,
s2025-10-09 04:30:46,Hardy - Give Heaven Some Hell,204,,
s2025-10-09 04:34:11,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,94,,
s2025-10-09 04:35:46,Listen.FM - Listen.FM,10,,
s2025-10-09 04:35:56,Jelly Roll - Heart Of Stone,174,,
s2025-10-09 04:38:51,Montgomery Gentry - Something To Be Proud Of (Album Version),260,,
s2025-10-09 04:43:11,Matt Stell - Breakin' in Boots,151,,
s2025-10-09 04:45:43,Old Dominion - One Man Band,184,,
s2025-10-09 04:48:47,Zach Top - Good Times & Tan Lines,160,,
s2025-10-09 04:51:27,Megan Moroney - 6 Months Later,184,,
s2025-10-09 04:54:32,Jason Aldean - Whiskey Drink,179,,
s2025-10-09 04:57:31,Rascal Flatts & Jonas Brothers - I Dare You,230,,
s2025-10-09 05:01:22,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,89,,
s2025-10-09 05:02:51,Listen.FM - Listen.FM,5,,
s2025-10-09 05:02:56,Kickin' Kountry@Listen.FM - TOH 5,10,,
s2025-10-09 05:03:06,Chris Stapleton - White Horse [Radio Edit],220,,
s2025-10-09 05:06:46,Jordan Davis - Bar None,181,,
s2025-10-09 05:09:48,Randy Houser - How Country Feels,172,,
s2025-10-09 05:12:40,Lainey Wilson - Somewhere Over Laredo,224,,
s2025-10-09 05:16:25,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,66,,
s2025-10-09 05:17:31,Listen.FM - Listen.FM,9,,
s2025-10-09 05:17:41,Tyler Hubbard - Dancin’ In The Country,176,,
s2025-10-09 05:20:37,Blake Shelton - Stay Country or Die Tryin',208,,
s2025-10-09 05:24:06,Chase Rice - Eyes On You,174,,
s2025-10-09 05:27:00,Drew Baldridge - Tough People,215,,
s2025-10-09 05:30:36,Morgan Wallen - I Ain't Comin' Back (feat. Post Malone),175,,
s2025-10-09 05:33:31,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,90,,
s2025-10-09 05:35:01,Listen.FM - Listen.FM,10,,
s2025-10-09 05:35:11,Dierks Bentley - Drunk On A Plane (Yeah Version),248,,
s2025-10-09 05:39:20,Luke Combs - Back in the Saddle,220,,
s2025-10-09 05:43:00,Kane Brown - Bury Me in Georgia [Radio Edit],164,,
s2025-10-09 05:45:45,Bailey Zimmerman - Rock and a Hard Place,205,,
s2025-10-09 05:49:11,Corey Kent - This Heart,182,,
s2025-10-09 05:52:14,"Tucker Wetmore - 3,156,1",0,,
s2025-10-09 05:54:50,Zac Brown Band - CHicken Fried (Radio Edit),209,,
s2025-10-09 05:58:20,Tim McGraw - Paper Umbrellas (feat. Parker McCollum),205,,
s2025-10-09 06:01:45,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,96,,
s2025-10-09 06:03:22,Kickin' Kountry@Listen.FM - TOH 6,19,,
s2025-10-09 06:03:41,Russell Dickerson - Happen To Me,175,,
s2025-10-09 06:06:36,Rodney Atkins - Take A Back Road,211,,
s2025-10-09 06:10:07,Jason Aldean - How Far Does A Goodbye Go,223,,
s2025-10-09 06:13:51,Mitchell Tenpenny - Truth About You,196,,
s2025-10-09 06:17:08,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,63,,
s2025-10-09 06:18:11,Listen.FM - Listen.FM,11,,
s2025-10-09 06:18:22,Morgan Wallen - I'm The Problem,167,,
s2025-10-09 06:21:10,Blake Shelton - Boys 'Round Here,229,,
s2025-10-09 06:25:00,Jon Pardi - Friday Night Heartbreaker,206,,
s2025-10-09 06:28:26,Megan Moroney - Tennessee Orange,219,,
s2025-10-09 06:32:06,Thomas Rhett - Beautiful As You,165,,
s2025-10-09 06:34:51,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,90,,
s2025-10-09 06:36:21,Listen.FM - Listen.FM,9,,
s2025-10-09 06:36:31,Dierks Bentley - What Was I Thinkin',224,,
s2025-10-09 06:40:16,Chase Matthew - Darlin',170,,
s2025-10-09 06:43:06,Dylan Scott - This Town's Been Too Good To Us,179,,
s2025-10-09 06:46:05,Tim McGraw - Standing Room Only,225,,
s2025-10-09 06:49:51,Kane Brown f/Lauren Alaina - What Ifs,189,,
s2025-10-09 06:53:01,Parker McCollum - What Kinda Man,229,,
s2025-10-09 06:56:51,Parmalee - Cowgirl,181,,
s2025-10-09 06:59:52,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,93,,
s2025-10-09 07:01:25,Kickin' Kountry@Listen.FM - TOH 7,22,,
s2025-10-09 07:01:48,HARDY - Favorite Country Song,183,,
s2025-10-09 07:04:51,Jason Aldean - Try That In A Small Town [Radio Edit],180,,
s2025-10-09 07:07:51,Hudson Westbrook - House Again (feat. Miranda Lambert),199,,
s2025-10-09 07:11:10,Lainey Wilson - Hang Tight Honey,193,,
s2025-10-09 07:14:24,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,63,,
s2025-10-09 07:15:27,Listen.FM - Listen.FM,3,,
s2025-10-09 07:15:31,Morgan Wallen - I Got Better,206,,
s2025-10-09 07:18:58,Russell Dickerson - Love You Like I Used To,199,,
s2025-10-09 07:22:17,Jackson Dean - Heavens To Betsy,193,,
s2025-10-09 07:25:30,Maddie & Tae - Die From A Broken Heart,0,,
10/9/2025 7:25,Maddie & Tae - Die From A Broken Heart,177,,
s2025-10-09 07:28:41,Koe Wetzel - High Road (feat. Jessie Murph),171,,
s2025-10-09 07:31:32,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,93,,
s2025-10-09 07:33:06,Listen.FM - Listen.FM,11,,
s2025-10-09 07:33:17,Justin Moore - Time’s Ticking,168,,
s2025-10-09 07:36:06,Luke Combs - The Kind of Love We Make,225,,
s2025-10-09 07:39:52,Scotty McCreery - Bottle Rockets (feat. Hootie & The Blowfish),230,,
s2025-10-09 07:43:42,Parmalee - Girl In Mine,157,,
s2025-10-09 07:46:19,Luke Bryan - One Margarita,185,,
s2025-10-09 07:49:25,Ella Langley - weren't for the wind,195,,
s2025-10-09 07:52:41,Miranda Lambert - A Song To Sing (feat. Chris Stapleton),169,,
s2025-10-09 07:55:31,Tim McGraw - Live Like You Were Dying,290,,
s2025-10-09 08:00:21,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,95,,
s2025-10-09 08:01:57,Kickin' Kountry@Listen.FM - TOH 8,14,,
s2025-10-09 08:02:11,Megan Moroney - You Had To Be There (feat. Kenny Chesney),213,,
s2025-10-09 08:05:45,Jelly Roll - Heart Of Stone,185,,
s2025-10-09 08:08:50,Thomas Rhett - Get Some Of That,185,,
s2025-10-09 08:11:56,Dylan Scott - What He'll Never Have,145,,
s2025-10-09 08:14:21,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,65,,
s2025-10-09 08:15:26,Listen.FM - Listen.FM,9,,
s2025-10-09 08:15:35,Luke Combs - Cold As You,179,,
s2025-10-09 08:18:35,Tucker Wetmore - Wind Up Missin' You [Clean Edit],159,,
s2025-10-09 08:21:15,Sam Hunt - Take Your Time (Radio Edit),215,,
s2025-10-09 08:24:50,Eric Church - Hands Of Time,200,,
s2025-10-09 08:28:11,Morgan Wallen - More Than My Hometown,204,,
s2025-10-09 08:31:36,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,93,,
s2025-10-09 08:33:10,Listen.FM - Listen.FM,10,,
s2025-10-09 08:33:20,Chris Janson - All I Need Is You,154,,
s2025-10-09 08:35:55,Sara Evans - Suds In The Bucket,231,,
s2025-10-09 08:39:46,Jordan Davis - Bar None,174,,
s2025-10-09 08:42:41,Dasha - Austin [Clean],172,,
s2025-10-09 08:45:33,Kelsea Ballerini - Cowboys Cry Too (with Noah Kahan),217,,
s2025-10-09 08:49:11,Zac Brown Band f/Jimmy Buffett - Knee Deep,210,,
s2025-10-09 08:52:41,Riley Green - Don't Mind If I Do (feat. Ella Langley),210,,
s2025-10-09 08:56:12,Meghan Patrick - Golden Child,215,,
s2025-10-09 08:59:47,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,93,,
s2025-10-09 09:01:21,Kickin' Kountry@Listen.FM - TOH 9,19,,
s2025-10-09 09:01:41,Dylan Marlowe & Dylan Scott - Boys Back Home,160,,
s2025-10-09 09:04:22,Max McNown - Better Me For You (Brown Eyes),200,,
s2025-10-09 09:07:42,Scotty McCreery - Fall Of Summer,214,,
s2025-10-09 09:11:17,Luke Combs - Back in the Saddle,214,,
s2025-10-09 09:14:52,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,60,,
s2025-10-09 09:15:53,Listen.FM - Listen.FM,7,,
s2025-10-09 09:16:00,Dustin Lynch - Small Town Boy,205,,
s2025-10-09 09:19:26,Zach Top - Good Times & Tan Lines,165,,
s2025-10-09 09:22:11,Eli Young Band - Even If It Breaks Your Heart (Radio Edit),208,,
s2025-10-09 09:25:40,George Birge - It Won't Be Long,195,,
s2025-10-09 09:28:56,Morgan Wallen - Wasted On You,177,,
s2025-10-09 09:31:53,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,87,,
s2025-10-09 09:33:21,Listen.FM - Listen.FM,10,,
s2025-10-09 09:33:31,Ella Langley - you look like you love me (feat. Riley Green),215,,
s2025-10-09 09:37:07,Keith Urban - Straight Line,224,,
s2025-10-09 09:40:51,Kenny Chesney - American Kids (Album Version),179,,
s2025-10-09 09:43:50,Russell Dickerson - Happen To Me,184,,
s2025-10-09 09:46:55,Dylan Scott - Can't Have Mine,179,,
s2025-10-09 09:49:54,Cole Swindell - Single Saturday Night,190,,
s2025-10-09 09:53:05,Jelly Roll - Need A Favor,189,,
s2025-10-09 09:56:15,Lainey Wilson - Somewhere Over Laredo,219,,
s2025-10-09 09:59:55,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,95,,
s2025-10-09 10:01:30,Kickin' Kountry@Listen.FM - TOH 1,15,,
s2025-10-09 10:01:46,Darius Rucker - Alright,225,,
s2025-10-09 10:05:31,Megan Moroney - 6 Months Later,185,,
s2025-10-09 10:08:37,Chase Matthew - Darlin',164,,
s2025-10-09 10:11:21,Bailey Zimmerman - Religiously,174,,
s2025-10-09 10:14:16,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,60,,
s2025-10-09 10:15:16,Listen.FM - Listen.FM,10,,
s2025-10-09 10:15:27,Rascal Flatts & Jonas Brothers - I Dare You,222,,
s2025-10-09 10:19:10,Scotty McCreery - This Is It,236,,
s2025-10-09 10:23:06,Post Malone - Guy For That (feat. Luke Combs),159,,
s2025-10-09 10:25:45,Carrie Underwood - Blown Away (Album Version),234,,
s2025-10-09 10:29:40,"Tucker Wetmore - 3,152,1",0,,
s2025-10-09 10:32:12,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,94,,
s2025-10-09 10:33:47,Listen.FM - Listen.FM,5,,
s2025-10-09 10:33:52,Sam Hunt - House Party,187,,
s2025-10-09 10:37:00,Dustin Lynch - Stars Like Confetti,194,,
s2025-10-09 10:40:15,Thomas Rhett - Sixteen,176,,
s2025-10-09 10:43:11,Morgan Wallen - I Got Better,210,,
s2025-10-09 10:46:41,Kenny Chesney - Beer In Mexico,220,,
s2025-10-09 10:50:21,Cody Johnson - The Painter,209,,
s2025-10-09 10:53:50,Dylan Scott - My Girl,191,,
s2025-10-09 10:57:02,Jon Pardi - Friday Night Heartbreaker,204,,
s2025-10-09 11:00:26,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,90,,
s2025-10-09 11:01:56,Listen.FM - Listen.FM,5,,
s2025-10-09 11:02:02,Kickin' Kountry@Listen.FM - TOH 2,14,,
s2025-10-09 11:02:16,Blake Shelton - Stay Country or Die Tryin',205,,
s2025-10-09 11:05:41,Jordan Davis - I Ain't Sayin',178,,
s2025-10-09 11:08:40,Scotty McCreery - Bottle Rockets (feat. Hootie & The Blowfish),225,,
s2025-10-09 11:12:25,Jackson Dean - Fearless [Live at the Ryman],195,,
s2025-10-09 11:15:41,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,64,,
s2025-10-09 11:16:46,Listen.FM - Listen.FM,10,,
s2025-10-09 11:16:56,Jelly Roll - Heart Of Stone,173,,
s2025-10-09 11:19:50,Walker Hayes - Fancy Like,171,,
s2025-10-09 11:22:42,Parker McCollum - What Kinda Man,224,,
s2025-10-09 11:26:26,Luke Bryan - Country Girl (Shake It For Me),229,,
s2025-10-09 11:30:16,HARDY - Favorite Country Song,191,,
s2025-10-09 11:33:27,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,88,,
s2025-10-09 11:34:56,Listen.FM - Listen.FM,10,,
s2025-10-09 11:35:07,Jon Pardi - Heartache On The Dance Floor,205,,
s2025-10-09 11:38:33,Luke Combs - Fast Car,262,,
s2025-10-09 11:42:55,Jason Aldean - How Far Does A Goodbye Go,225,,
s2025-10-09 11:46:40,Blake Shelton - A Guy With A Girl,190,,
s2025-10-09 11:49:51,Morgan Wallen - I Ain't Comin' Back (feat. Post Malone),169,,
s2025-10-09 11:52:41,Ashley Cooke - your place,184,,
s2025-10-09 11:55:46,Eric Church - Springsteen,220,,
s2025-10-09 11:59:27,Shaboozey - A Bar Song (Tipsy) [Clean],174,,
s2025-10-09 12:02:21,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,90,,
s2025-10-09 12:03:51,Kickin' Kountry@Listen.FM - TOH 3,16,,
s2025-10-09 12:04:08,Hudson Westbrook - House Again (feat. Miranda Lambert),196,,
s2025-10-09 12:07:25,Rascal Flatts - Fast Cars And Freedom,264,,
s2025-10-09 12:11:50,Parmalee - Cowgirl,182,,
s2025-10-09 12:14:52,Jordan Davis - Bar None,168,,
s2025-10-09 12:17:41,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,66,,
s2025-10-09 12:18:48,Listen.FM - Listen.FM,8,,
s2025-10-09 12:18:56,Luke Bryan - Most People Are Good,215,,
s2025-10-09 12:22:32,Tim McGraw - Paper Umbrellas (feat. Parker McCollum),209,,
s2025-10-09 12:26:01,Brett Young - In Case You Didn't Know,219,,
s2025-10-09 12:29:40,Dan + Shay - Bigger Houses,200,,
s2025-10-09 12:33:00,Jason Aldean & Carrie Underwood - If I Didn't Love You,210,,
s2025-10-09 12:36:31,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,94,,
s2025-10-09 12:38:06,Listen.FM - Listen.FM,4,,
s2025-10-09 12:38:11,Jackson Dean - Heavens To Betsy,200,,
s2025-10-09 12:41:31,Kenny Chesney - Save It For A Rainy Day,190,,
s2025-10-09 12:44:42,Thomas Rhett - Mamaw's House (feat. Morgan Wallen),174,,
s2025-10-09 12:47:36,Dustin Lynch - Where It's At,211,,
s2025-10-09 12:51:07,Luke Combs - Back in the Saddle,210,,
s2025-10-09 12:54:38,Jelly Roll - Liar,202,,
s2025-10-09 12:58:01,Jordan Davis - Tucson Too Late,169,,
s2025-10-09 13:00:50,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,91,,
s2025-10-09 13:02:21,Kickin' Kountry@Listen.FM - TOH 4,20,,
s2025-10-09 13:02:41,Eric Church - Hands Of Time,195,,
s2025-10-09 13:05:57,Miranda Lambert - A Song To Sing (feat. Chris Stapleton),180,,
s2025-10-09 13:08:57,Nate Smith - World On Fire,184,,
s2025-10-09 13:12:01,Justin Moore - Time’s Ticking,175,,
s2025-10-09 13:14:57,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,60,,
s2025-10-09 13:15:57,Listen.FM - Listen.FM,10,,
s2025-10-09 13:16:07,Kane Brown - I Can Feel It,163,,
s2025-10-09 13:18:50,Russell Dickerson - Happen To Me,179,,
s2025-10-09 13:21:50,Jason Aldean - Let Your Boys Be Country,186,,
s2025-10-09 13:24:56,Riley Green - Don't Mind If I Do (feat. Ella Langley),224,,
s2025-10-09 13:28:41,Florida-Georgia Line - This Is How We Roll,220,,
s2025-10-09 13:32:21,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,94,,
s2025-10-09 13:33:56,Listen.FM - Listen.FM,5,,
s2025-10-09 13:34:01,Megan Moroney - You Had To Be There (feat. Kenny Chesney),214,,
s2025-10-09 13:37:35,Chris Janson - Good Vibes,171,,
s2025-10-09 13:40:26,Bailey Zimmerman - Backup Plan (feat. Luke Combs),171,,
s2025-10-09 13:43:17,Dylan Scott - What He'll Never Have,154,,
s2025-10-09 13:45:52,Jordan Davis - Next Thing You Know,180,,
s2025-10-09 13:48:53,Chase Matthew - Darlin',166,,
s2025-10-09 13:51:39,"Justin Moore & Priscilla Block - You,184, And Whiskey",0,,
s2025-10-09 13:54:43,Jon Pardi - Last Night Lonely,180,,
s2025-10-09 13:57:43,Zac Brown Band f/Alan Jackson - As She's Walking Away,219,,
s2025-10-09 14:01:23,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,94,,
s2025-10-09 14:02:58,Kickin' Kountry@Listen.FM - TOH 5,15,,
s2025-10-09 14:03:13,Tyler Hubbard - Park,154,,
s2025-10-09 14:05:48,Zach Top - Good Times & Tan Lines,164,,
s2025-10-09 14:08:32,Jason Aldean w/Kelly Clarkson - Don't You Wanna Stay (Radio Edit),222,,
s2025-10-09 14:12:15,Meghan Patrick - Golden Child,209,,
s2025-10-09 14:15:44,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,63,,
s2025-10-09 14:16:48,Listen.FM - Listen.FM,4,,
s2025-10-09 14:16:53,Morgan Wallen - I Got Better,203,,
s2025-10-09 14:20:17,Brett Eldredge - Don't Ya,192,,
s2025-10-09 14:23:29,Max McNown - Better Me For You (Brown Eyes),188,,
s2025-10-09 14:26:38,Bailey Zimmerman - Fall In Love,230,,
s2025-10-09 14:30:28,Nate Smith - Fix What You Didn't Break,193,,
s2025-10-09 14:33:42,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,97,,
s2025-10-09 14:35:19,Listen.FM - Listen.FM,7,,
s2025-10-09 14:35:26,Chris Young & Kane Brown - Famous Friends,161,,
s2025-10-09 14:38:08,Lainey Wilson - Somewhere Over Laredo,232,,
s2025-10-09 14:42:00,Justin Moore - Why We Drink,203,,
s2025-10-09 14:45:23,Luke Combs - Where the Wild Things Are,239,,
s2025-10-09 14:49:23,Josh Turner - Hometown Girl,209,,
s2025-10-09 14:52:53,Scotty McCreery - Bottle Rockets (feat. Hootie & The Blowfish),229,,
s2025-10-09 14:56:42,Toby Keith - I Love This Bar (Single Version),242,,
s2025-10-09 15:00:45,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,90,,
s2025-10-09 15:02:15,Listen.FM - Listen.FM,4,,
s2025-10-09 15:02:20,Kickin' Kountry@Listen.FM - TOH 6,18,,
s2025-10-09 15:02:39,Billy Currington - Do I Make You Wanna,231,,
s2025-10-09 15:06:31,"Tucker Wetmore - 3,156,1",0,,
s2025-10-09 15:09:08,George Birge - It Won't Be Long,186,,
s2025-10-09 15:12:14,Luke Bryan - Country Song Came On,230,,
s2025-10-09 15:16:05,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,64,,
s2025-10-09 15:17:09,Listen.FM - Listen.FM,10,,
s2025-10-09 15:17:20,Keith Urban - Straight Line,202,,
s2025-10-09 15:20:43,Kenny Chesney - Take Her Home,193,,
s2025-10-09 15:23:56,Jelly Roll - Heart Of Stone,176,,
s2025-10-09 15:26:52,Luke Combs - When It Rains It Pours (Rado Edit),247,,
s2025-10-09 15:30:59,Jon Pardi - Friday Night Heartbreaker,204,,
s2025-10-09 15:34:24,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,89,,
s2025-10-09 15:35:53,Listen.FM - Listen.FM,10,,
s2025-10-09 15:36:03,Jason Aldean - Trouble With A Heartbreak,189,,
s2025-10-09 15:39:13,Megan Moroney - 6 Months Later,189,,
s2025-10-09 15:42:22,Cole Swindell - Ain't Worth The Whiskey,186,,
s2025-10-09 15:45:28,Dierks Bentley - She Hates Me,178,,
s2025-10-09 15:48:27,Rascal Flatts & Jonas Brothers - I Dare You,224,,
s2025-10-09 15:52:11,Luke Bryan - I Don't Want This Night To End,220,,
s2025-10-09 15:55:52,Jordan Davis - Bar None,170,,
s2025-10-09 15:58:42,Scotty McCreery - Cab In A Solo,227,,
s2025-10-09 16:02:30,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,87,,
s2025-10-09 16:03:57,Listen.FM - Listen.FM,5,,
s2025-10-09 16:04:03,Kickin' Kountry@Listen.FM - TOH 7,15,,
s2025-10-09 16:04:18,Parmalee - Take My Name,149,,
s2025-10-09 16:06:47,Sam Hunt - Country House,215,,
s2025-10-09 16:10:22,Parker McCollum - What Kinda Man,225,,
s2025-10-09 16:14:08,Carrie Underwood - All-American Girl,213,,
s2025-10-09 16:17:42,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,60,,
s2025-10-09 16:18:42,Listen.FM - Listen.FM,9,,
s2025-10-09 16:18:51,Blake Shelton - Stay Country or Die Tryin',206,,
s2025-10-09 16:22:18,Luke Combs - Back in the Saddle,214,,
10/9/2025 16:41,Dustin Lynch - Ridin' Roads,75,,
s2025-10-09 16:43:01,Hudson Westbrook - House Again (feat. Miranda Lambert),200,,
s2025-10-09 16:46:22,Lady Antebellum - Downtown,202,,
s2025-10-09 16:49:44,Thomas Rhett - Angels,202,,
s2025-10-09 16:53:07,Luke Bryan - Rain Is A Good Thing (Album Version),180,,
s2025-10-09 16:56:07,Russell Dickerson - Happen To Me,176,,
s2025-10-09 16:59:04,Keith Urban - Somebody Like You (Single Version),225,,
s2025-10-09 17:02:49,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,89,,
s2025-10-09 17:04:18,Kickin' Kountry@Listen.FM - TOH 8,19,,
s2025-10-09 17:04:38,Lainey Wilson - Watermelon Moonshine,200,,
s2025-10-09 17:07:59,Luke Combs - One Number Away,223,,
s2025-10-09 17:11:43,Jackson Dean - Heavens To Betsy,199,,
s2025-10-09 17:15:03,Tim McGraw - Paper Umbrellas (feat. Parker McCollum),206,,
s2025-10-09 17:18:29,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,58,,
s2025-10-09 17:19:28,Listen.FM - Listen.FM,17,,
s2025-10-09 17:19:45,Warren Zeiders - Pretty Little Poison,206,,
s2025-10-09 17:23:12,Jason Aldean - How Far Does A Goodbye Go,236,,
s2025-10-09 17:27:08,George Birge - Mind On You,170,,
s2025-10-09 17:29:58,Chase Matthew - Darlin',169,,
s2025-10-09 17:32:48,Blake Shelton - Nobody But You (feat. Gwen Stefani),193,,
s2025-10-09 17:36:02,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,90,,
s2025-10-09 17:37:32,Listen.FM - Listen.FM,9,,
s2025-10-09 17:37:42,Eric Church - Hands Of Time,194,,
s2025-10-09 17:40:57,Thomas Rhett - What's Your Country Song,177,,
s2025-10-09 17:43:55,Parmalee - Cowgirl,173,,
s2025-10-09 17:46:48,Luke Combs - Even Though I'm Leaving,231,,
s2025-10-09 17:50:40,Tyler Hubbard - Back Then Right Now,197,,
s2025-10-09 17:53:57,HARDY - Favorite Country Song,196,,
s2025-10-09 17:57:14,Sam Hunt - Body Like A Back Road,158,,
s2025-10-09 17:59:52,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,95,,
s2025-10-09 18:01:28,Kickin' Kountry@Listen.FM - TOH 9,20,,
s2025-10-09 18:01:48,Chayce Beckham - 23,224,,
s2025-10-09 18:05:32,Old Dominion - Memory Lane,175,,
s2025-10-09 18:08:28,Bailey Zimmerman - Where It Ends,174,,
s2025-10-09 18:11:23,Riley Green - Don't Mind If I Do (feat. Ella Langley),214,,
s2025-10-09 18:14:57,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,65,,
s2025-10-09 18:16:03,Listen.FM - Listen.FM,4,,
s2025-10-09 18:16:07,Rodney Atkins - Watching You,232,,
s2025-10-09 18:20:00,Miranda Lambert - A Song To Sing (feat. Chris Stapleton),184,,
s2025-10-09 18:23:04,Scotty McCreery - Bottle Rockets (feat. Hootie & The Blowfish),229,,
s2025-10-09 18:26:53,Jason Aldean - Lights Come On,195,,
s2025-10-09 18:30:09,Justin Moore - Time’s Ticking,173,,
s2025-10-09 18:33:03,181.FM - THIS STATION WILL CONTINUE AFTER THIS BREAK,95,,
s2025-10-09 18:34:38,Listen.FM - Listen.FM,12,,
s2025-10-09 18:34:50,Morgan Wallen - Chasin' You,197,,
s2025-10-09 18:38:08,Sam Hunt - Outskirts,185,,
s2025-10-09 18:41:14,Tyler Hubbard - 5 Foot 9,178,,
s2025-10-09 18:44:13,Zach Top - Good Times & Tan Lines,165,,
s2025-10-09 18:46:58,Chris Stapleton - Broken Halos,173,,
s2025-10-09 18:49:52,Tim McGraw - One Bad Habit,189,,
